  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 163, in query
    raise CensusException(resp.text)
census.core.CensusException: There was an error while running your query.  We've logged the error and we'll correct it ASAP.  Sorry for the inconvenience.

2018-11-20 16:19:01,677 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:055 state:01 tract:010502'}, will retry shortly
2018-11-20 16:19:01,679 - INFO - Traceback (most recent call last):
  File "/App/scripts/utils_census.py", line 159, in fetchResults
    return getattr(c, source).get(items, lookup_dict, year=year)
  File "/App/scripts/census_patch.py", line 19, in get
    return super(SF1ClientPatch, self).get(*args, **kwargs)
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 118, in get
    merged_results = [merge(result) for result in zip(*all_results)]
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 117, in <genexpr>
    for fifty_fields in chunks(fields, 50))
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 163, in query
    raise CensusException(resp.text)
census.core.CensusException: There was an error while running your query.  We've logged the error and we'll correct it ASAP.  Sorry for the inconvenience.

2018-11-20 16:20:29,420 - WARNING - received error fetching 2010 sf1 data {'for': 'block group:*', 'in': 'county:099 state:01 tract:075900'}, will retry shortly
2018-11-20 16:20:29,421 - INFO - Traceback (most recent call last):
  File "/App/scripts/utils_census.py", line 159, in fetchResults
    return getattr(c, source).get(items, lookup_dict, year=year)
  File "/App/scripts/census_patch.py", line 19, in get
    return super(SF1ClientPatch, self).get(*args, **kwargs)
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 118, in get
    merged_results = [merge(result) for result in zip(*all_results)]
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 117, in <genexpr>
    for fifty_fields in chunks(fields, 50))
  File "/usr/local/lib/python3.5/dist-packages/census/core.py", line 163, in query
    raise CensusException(resp.text)
